UF de notificação;Ano;Ign/Branco;Analfabeto;1ª a 4ª série incompleta do EF;4ª série completa do EF;5ª a 8ª série incompleta do EF;Ensino fundamental completo;Ensino médio incompleto;Ensino médio completo;Educação superior completa;Não se aplica
51 Mato Grosso;2015;1045;598;2197;639;1677;647;782;1124;136;331;61
52 Goiás;2015;695;403;1109;523;640;374;420;689;63;119;37
53 Distrito Federal;2015;126;33;128;44;130;63;62;82;12;22;2
11 Rondônia;2016;159;84;373;97;241;62;97;206;20;48;3
12 Acre;2016;45;56;118;9;109;22;18;36;-;10;-
13 Amazonas;2016;322;134;450;146;364;112;149;180;17;14;12
14 Roraima;2016;43;26;44;23;54;13;24;59;-;12;2
15 Pará;2016;959;711;1942;584;1460;326;524;726;68;88;69
16 Amapá;2016;16;8;34;29;54;5;30;21;13;8;-
17 Tocantins;2016;686;386;1218;269;853;315;488;949;128;271;30
21 Maranhão;2016;1215;1763;2766;612;1868;713;698;1365;116;175;175
22 Piauí;2016;455;357;622;118;422;110;185;326;78;159;24
23 Ceará;2016;1259;861;1291;366;643;265;271;510;50;75;42
24 Rio Grande do Norte;2016;95;56;99;28;45;22;31;34;-;6;9
25 Paraíba;2016;285;120;214;46;79;45;30;74;11;15;13
26 Pernambuco;2016;1822;588;1191;352;889;266;421;622;36;113;120
27 Alagoas;2016;127;91;192;56;114;52;49;103;14;27;12
28 Sergipe;2016;267;98;202;95;135;77;43;79;12;16;4
29 Bahia;2016;1184;618;1289;380;756;261;303;649;60;155;48
31 Minas Gerais;2016;983;299;803;353;500;203;188;311;49;119;11
32 Espírito Santo;2016;123;109;339;107;311;121;101;195;6;56;-
33 Rio de Janeiro;2016;569;194;422;269;399;156;122;329;29;61;20
35 São Paulo;2016;760;212;838;457;776;445;284;707;47;138;9
41 Paraná;2016;227;221;547;232;263;129;67;158;12;34;-
42 Santa Catarina;2016;126;20;96;31;81;40;16;36;1;9;-
43 Rio Grande do Sul;2016;27;2;38;28;67;3;19;12;3;7;2
50 Mato Grosso do Sul;2016;241;87;278;87;235;64;75;70;10;10;19
51 Mato Grosso;2016;1288;535;1961;714;1806;567;865;1319;240;424;88
52 Goiás;2016;761;432;884;348;773;225;344;595;37;121;25
53 Distrito Federal;2016;167;24;88;42;112;37;21;32;4;28;-
11 Rondônia;2017;122;118;315;157;344;84;92;179;20;15;3
12 Acre;2017;43;54;136;38;38;9;55;36;7;15;2
13 Amazonas;2017;238;254;351;195;356;126;121;238;6;45;14
14 Roraima;2017;185;20;62;42;105;39;44;60;15;10;-
15 Pará;2017;963;690;1917;468;1491;329;510;807;84;144;62
16 Amapá;2017;25;26;57;28;58;17;42;47;4;15;-
17 Tocantins;2017;1023;410;1015;356;713;468;450;857;132;298;50
21 Maranhão;2017;1673;2062;3015;780;2057;595;862;1567;118;278;170
22 Piauí;2017;649;461;696;180;469;168;293;480;47;94;36
23 Ceará;2017;1271;712;1238;368;712;230;236;457;43;119;33
24 Rio Grande do Norte;2017;117;47;147;27;85;24;37;53;3;9;3
25 Paraíba;2017;344;112;243;89;108;30;48;82;5;13;15
26 Pernambuco;2017;2728;804;1708;560;1182;324;514;929;76;197;200
27 Alagoas;2017;183;148;206;71;158;46;65;119;5;5;7
28 Sergipe;2017;356;213;264;78;215;53;74;130;21;38;3
29 Bahia;2017;1616;566;1183;459;858;353;279;743;67;137;75
31 Minas Gerais;2017;667;274;775;346;447;200;195;465;33;96;15
32 Espírito Santo;2017;186;99;255;101;349;118;138;298;20;64;6
33 Rio de Janeiro;2017;527;172;301;195;379;177;130;365;28;60;33
35 São Paulo;2017;924;211;686;395;591;342;309;593;49;137;15
41 Paraná;2017;263;199;435;196;204;173;86;184;29;60;6
42 Santa Catarina;2017;78;11;72;19;53;41;28;44;3;4;-
43 Rio Grande do Sul;2017;45;19;63;12;40;26;7;37;11;9;-
50 Mato Grosso do Sul;2017;258;122;303;80;271;83;54;104;14;21;-
51 Mato Grosso;2017;1367;569;2471;821;3896;1106;1295;1662;257;620;34
52 Goiás;2017;539;338;818;334;741;394;310;530;65;94;19
53 Distrito Federal;2017;120;20;23;93;101;33;45;32;3;19;5
11 Rondônia;2018;195;87;416;131;361;126;159;283;30;43;3
12 Acre;2018;60;39;153;14;22;35;70;51;21;8;-
13 Amazonas;2018;301;154;325;99;321;74;146;217;14;61;5
14 Roraima;2018;71;30;43;31;73;14;41;116;11;11;-
15 Pará;2018;1066;726;1817;499;1541;454;596;967;68;101;37
16 Amapá;2018;50;35;83;10;64;32;37;42;-;3;3
17 Tocantins;2018;1007;486;1167;374;1188;595;571;1076;113;280;65
21 Maranhão;2018;1429;1790;2826;623;2078;669;736;1542;123;279;120
22 Piauí;2018;423;405;788;207;449;181;263;393;34;80;29
23 Ceará;2018;1395;842;1111;381;761;236;342;470;65;124;58
24 Rio Grande do Norte;2018;116;72;122;44;70;33;30;52;13;14;5
25 Paraíba;2018;311;107;361;119;111;104;63;84;11;35;19
26 Pernambuco;2018;2700;744;1517;550;1397;414;478;894;90;273;112
27 Alagoas;2018;183;166;214;91;182;38;37;121;4;19;18
28 Sergipe;2018;248;177;207;119;191;60;122;118;24;30;5
29 Bahia;2018;1410;530;1147;406;873;265;338;493;40;113;56
31 Minas Gerais;2018;580;289;650;328;450;173;199;317;28;144;39
32 Espírito Santo;2018;108;102;287;139;252;165;172;275;22;38;3
33 Rio de Janeiro;2018;522;168;334;190;401;153;213;282;22;52;11
35 São Paulo;2018;952;171;700;376;611;327;201;588;44;138;3
41 Paraná;2018;167;231;425;197;308;155;114;285;16;23;9
42 Santa Catarina;2018;106;1;55;48;72;28;15;46;-;6;-
43 Rio Grande do Sul;2018;49;14;80;30;113;23;31;25;10;4;2
50 Mato Grosso do Sul;2018;288;61;174;95;173;59;31;79;17;1;4
51 Mato Grosso;2018;1386;632;2475;1009;2364;926;1189;2280;364;924;52
52 Goiás;2018;642;308;812;386;629;370;351;569;43;120;24
53 Distrito Federal;2018;89;14;68;43;54;74;39;83;1;34;-
11 Rondônia;2019;71;57;251;113;186;76;88;125;11;33;6
12 Acre;2019;17;50;67;2;14;34;12;48;2;40;-
13 Amazonas;2019;215;132;251;132;238;73;129;218;20;39;16
14 Roraima;2019;26;12;62;14;28;18;15;39;8;6;-
15 Pará;2019;766;692;1857;528;1246;405;516;981;70;172;58
16 Amapá;2019;35;27;63;11;74;5;23;43;2;19;-
17 Tocantins;2019;802;290;771;233;898;351;403;1038;59;263;28
21 Maranhão;2019;1301;1627;2363;691;1778;754;846;1496;115;238;142
22 Piauí;2019;434;344;595;161;346;158;162;335;38;90;12
23 Ceará;2019;1042;681;956;298;618;232;253;509;30;103;16
24 Rio Grande do Norte;2019;131;31;68;19;56;18;29;37;2;14;-
25 Paraíba;2019;263;82;158;86;111;43;48;53;1;5;-
26 Pernambuco;2019;2485;600;1274;515;1024;366;369;1013;82;270;82
27 Alagoas;2019;148;110;142;37;143;19;38;61;5;14;15
28 Sergipe;2019;228;154;195;38;176;54;112;92;7;48;-
29 Bahia;2019;1066;559;989;363;726;247;235;579;49;139;30
31 Minas Gerais;2019;469;317;722;323;400;124;156;356;52;87;22
32 Espírito Santo;2019;159;121;267;120;298;132;178;273;32;74;25
33 Rio de Janeiro;2019;439;131;291;214;297;136;122;256;33;64;15
35 São Paulo;2019;545;194;634;241;623;387;282;586;52;102;5
41 Paraná;2019;180;175;392;140;231;136;89;170;11;81;7
42 Santa Catarina;2019;86;10;57;60;47;26;19;34;-;3;-
43 Rio Grande do Sul;2019;45;18;31;27;47;16;18;16;3;3;-
50 Mato Grosso do Sul;2019;243;89;315;70;201;97;57;128;16;25;6
51 Mato Grosso;2019;877;667;1903;893;1937;871;1047;1681;240;667;37
52 Goiás;2019;537;235;699;273;591;411;299;602;45;126;13
53 Distrito Federal;2019;111;34;63;34;290;5;58;192;18;46;2
11 Rondônia;2020;86;33;131;56;80;45;34;66;22;12;-
12 Acre;2020;24;19;29;14;23;5;-;4;-;2;-
13 Amazonas;2020;76;40;73;22;86;41;11;74;3;29;4
14 Roraima;2020;-;-;1;4;1;-;7;3;-;-;-
15 Pará;2020;307;194;626;150;514;153;235;321;13;64;34
16 Amapá;2020;16;-;8;-;21;8;2;22;6;11;1
17 Tocantins;2020;290;89;285;49;380;135;180;330;46;71;9
21 Maranhão;2020;629;592;796;276;694;216;247;538;57;94;24
22 Piauí;2020;127;54;121;51;40;47;29;43;7;22;-
23 Ceará;2020;468;267;436;148;234;130;90;206;9;67;4
24 Rio Grande do Norte;2020;26;1;34;25;8;-;12;8;-;2;6
25 Paraíba;2020;83;26;82;15;45;32;12;78;-;10;-
26 Pernambuco;2020;968;172;489;180;398;167;131;417;49;171;52
27 Alagoas;2020;54;39;21;18;50;25;19;20;-;22;1
28 Sergipe;2020;165;124;95;26;88;26;52;60;5;17;-
29 Bahia;2020;350;126;229;126;177;59;72;165;15;25;4
31 Minas Gerais;2020;190;63;217;85;128;60;28;71;15;28;-
32 Espírito Santo;2020;5;1;13;21;17;5;-;10;-;-;-
33 Rio de Janeiro;2020;130;26;64;38;73;29;28;108;24;12;8
35 São Paulo;2020;221;66;155;118;159;132;85;257;31;72;4
41 Paraná;2020;42;35;152;88;121;62;44;106;13;18;-
42 Santa Catarina;2020;33;1;28;9;21;15;6;25;1;7;-
43 Rio Grande do Sul;2020;19;5;14;1;20;-;3;-;2;1;-
50 Mato Grosso do Sul;2020;112;30;54;31;96;13;34;19;4;13;-
51 Mato Grosso;2020;340;169;683;211;715;321;388;673;111;295;20
52 Goiás;2020;218;80;218;94;186;84;75;171;34;50;9
53 Distrito Federal;2020;66;21;12;13;19;2;50;24;9;16;2
