UF de notificação;Ano;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais
35 São Paulo;2015;0;7;22;48;211;285;302;367;280;126;35
41 Paraná;2015;0;1;8;14;72;136;165;251;192;79;22
42 Santa Catarina;2015;0;1;3;6;23;33;44;40;38;14;4
43 Rio Grande do Sul;2015;0;0;3;3;14;26;22;50;24;10;6
50 Mato Grosso do Sul;2015;0;14;21;34;82;140;155;242;150;76;26
51 Mato Grosso;2015;6;71;148;160;427;733;779;818;473;177;55
52 Goiás;2015;3;34;68;79;244;377;450;431;278;128;40
53 Distrito Federal;2015;1;3;9;17;53;89;63;68;36;17;4
11 Rondônia;2016;0;7;16;36;58;132;123;116;61;22;8
12 Acre;2016;0;3;8;5;25;33;29;22;5;6;0
13 Amazonas;2016;1;13;37;53;81;117;97;87;57;22;7
14 Roraima;2016;0;3;10;2;19;21;16;12;20;3;1
15 Pará;2016;8;91;219;201;477;619;515;486;364;152;61
16 Amapá;2016;0;1;6;9;27;29;23;17;13;0;0
17 Tocantins;2016;3;30;78;84;153;361;325;313;228;109;40
21 Maranhão;2016;18;127;219;240;546;832;670;651;510;274;109
22 Piauí;2016;3;26;48;49;144;156;206;214;166;87;47
23 Ceará;2016;4;40;57;67;165;304;365;415;346;210;61
24 Rio Grande do Norte;2016;3;4;3;8;15;37;38;40;43;24;7
25 Paraíba;2016;3;10;14;20;50;96;103;104;69;43;18
26 Pernambuco;2016;13;80;127;140;256;437;450;443;291;132;51
27 Alagoas;2016;0;4;13;12;52;64;56;50;51;14;6
28 Sergipe;2016;0;7;15;19;38;59;69;68;41;27;11
29 Bahia;2016;6;47;83;113;272;478;505;461;345;183;63
31 Minas Gerais;2016;4;18;41;46;112;195;272;307;228;119;37
32 Espírito Santo;2016;0;4;19;27;51;98;93;107;74;31;7
33 Rio de Janeiro;2016;2;24;34;26;106;200;203;219;180;109;37
35 São Paulo;2016;0;14;24;77;199;289;294;378;308;146;41
41 Paraná;2016;0;2;3;14;57;109;129;185;167;80;22
42 Santa Catarina;2016;0;0;2;1;23;36;31;51;29;15;3
43 Rio Grande do Sul;2016;1;0;1;1;9;25;24;35;44;8;5
50 Mato Grosso do Sul;2016;1;6;11;10;52;108;116;115;81;40;20
51 Mato Grosso;2016;7;56;140;143;435;600;772;733;431;181;42
52 Goiás;2016;3;22;40;69;160;361;384;351;248;140;30
53 Distrito Federal;2016;1;3;7;9;40;56;66;57;35;15;4
11 Rondônia;2017;2;8;20;27;82;127;140;122;77;22;2
12 Acre;2017;0;4;7;13;22;37;29;27;15;9;3
13 Amazonas;2017;3;7;31;29;86;108;123;91;62;21;4
14 Roraima;2017;0;1;23;17;22;40;35;28;23;6;3
15 Pará;2017;9;57;213;192;484;687;543;533;393;204;55
16 Amapá;2017;0;2;9;10;27;31;30;23;11;5;2
17 Tocantins;2017;0;28;81;66;195;311;364;264;224;116;33
21 Maranhão;2017;12;124;258;251;541;764;721;665;563;332;130
22 Piauí;2017;5;32;51;67;158;187;230;263;214;117;46
23 Ceará;2017;3;23;44;68;133;244;352;383;334;192;78
24 Rio Grande do Norte;2017;0;2;6;8;32;43;59;58;55;23;11
25 Paraíba;2017;3;15;18;17;54;116;104;104;111;45;16
26 Pernambuco;2017;15;93;120;166;351;583;627;524;440;200;64
27 Alagoas;2017;1;8;25;20;50;61;75;80;45;27;10
28 Sergipe;2017;3;5;14;17;45;81;81;85;75;42;16
29 Bahia;2017;12;58;99;125;284;478;555;542;407;191;94
31 Minas Gerais;2017;1;19;45;47;125;203;268;294;245;131;35
32 Espírito Santo;2017;0;8;12;30;58;118;106;95;80;40;13
33 Rio de Janeiro;2017;2;14;23;35;95;201;215;271;222;77;34
35 São Paulo;2017;1;8;26;46;155;241;266;359;285;175;52
41 Paraná;2017;1;3;3;12;54;91;143;189;173;61;21
42 Santa Catarina;2017;0;0;6;5;19;27;34;42;22;8;0
43 Rio Grande do Sul;2017;0;2;9;3;18;24;22;39;34;15;4
50 Mato Grosso do Sul;2017;0;4;9;11;39;109;109;124;94;53;19
51 Mato Grosso;2017;3;63;146;173;452;724;999;937;576;196;54
52 Goiás;2017;4;18;41;66;193;312;364;367;252;126;32
53 Distrito Federal;2017;2;2;6;11;37;47;47;43;37;13;8
11 Rondônia;2018;0;0;9;23;52;108;166;183;169;95;38;18
12 Acre;2018;0;0;4;8;6;26;46;23;16;13;9;2
13 Amazonas;2018;0;1;9;46;35;73;85;90;98;67;21;5
14 Roraima;2018;0;0;3;5;8;23;22;31;23;12;7;2
15 Pará;2018;0;6;78;209;227;454;682;645;506;398;183;61
16 Amapá;2018;0;1;2;6;11;20;28;32;26;15;10;7
17 Tocantins;2018;0;5;30;110;98;193;394;461;396;262;144;52
21 Maranhão;2018;0;12;109;231;234;511;796;693;617;553;285;107
22 Piauí;2018;0;2;29;48;72;121;205;239;253;224;105;37
23 Ceará;2018;0;1;21;54;80;166;270;414;449;335;213;84
24 Rio Grande do Norte;2018;0;1;5;4;3;27;40;72;75;38;27;14
25 Paraíba;2018;0;1;13;11;18;83;115;133;113;105;54;12
26 Pernambuco;2018;0;10;61;118;150;331;479;640;596;435;195;70
27 Alagoas;2018;0;2;7;21;29;36;88;87;86;57;32;11
28 Sergipe;2018;0;0;11;22;18;57;71;81;81;58;32;7
29 Bahia;2018;0;6;54;82;115;259;468;516;504;397;234;90
31 Minas Gerais;2018;0;4;18;47;54;96;203;252;325;218;127;38
32 Espírito Santo;2018;0;1;5;17;39;68;92;87;104;83;42;12
33 Rio de Janeiro;2018;1;3;12;32;37;102;190;230;217;247;92;36
35 São Paulo;2018;0;1;8;21;59;162;252;295;358;315;161;32
41 Paraná;2018;0;0;3;5;15;73;104;136;175;124;73;27
42 Santa Catarina;2018;0;0;0;1;8;20;26;28;43;27;21;1
43 Rio Grande do Sul;2018;0;0;2;5;8;12;29;37;25;39;27;2
50 Mato Grosso do Sul;2018;0;0;4;7;9;42;76;99;121;106;42;9
51 Mato Grosso;2018;0;1;57;154;209;533;971;1324;1389;820;264;91
52 Goiás;2018;0;5;17;33;57;165;278;403;375;289;135;37
53 Distrito Federal;2018;0;0;2;3;11;39;50;51;53;41;15;2
11 Rondônia;2019;2;4;13;27;73;121;154;128;70;32;9
12 Acre;2019;0;0;0;4;17;35;32;15;17;9;4
13 Amazonas;2019;2;6;35;27;76;84;105;94;50;31;11
14 Roraima;2019;0;5;5;4;16;30;23;14;18;5;1
15 Pará;2019;3;77;187;212;482;738;666;550;397;187;59
16 Amapá;2019;1;2;6;14;31;27;41;17;20;6;0
17 Tocantins;2019;3;33;77;119;252;349;410;374;232;131;47
21 Maranhão;2019;10;106;218;283;484;751;741;720;608;328;106
22 Piauí;2019;2;30;36;45;120;169;216;226;181;108;51
23 Ceará;2019;3;25;45;58;179;235;344;456;331;199;76
24 Rio Grande do Norte;2019;0;1;5;8;27;26;48;61;27;25;8
25 Paraíba;2019;3;9;26;29;47;136;156;154;134;61;23
26 Pernambuco;2019;11;55;130;136;333;533;716;646;481;234;72
27 Alagoas;2019;2;7;12;17;52;71;65;52;48;38;10
28 Sergipe;2019;0;6;19;20;42;54;78;63;62;31;14
29 Bahia;2019;7;43;85;94;248;412;468;517;430;200;78
31 Minas Gerais;2019;2;21;35;58;107;180;296;330;293;140;46
32 Espírito Santo;2019;4;7;29;25;86;128;120;114;94;39;14
33 Rio de Janeiro;2019;5;13;22;38;99;193;199;220;235;93;33
35 São Paulo;2019;3;12;29;44;156;208;304;355;319;141;49
41 Paraná;2019;0;5;5;15;48;89;130;178;179;90;24
42 Santa Catarina;2019;0;1;3;5;24;36;45;53;35;12;13
43 Rio Grande do Sul;2019;0;2;7;3;16;21;22;20;38;17;2
50 Mato Grosso do Sul;2019;0;6;14;14;44;99;123;161;125;49;16
51 Mato Grosso;2019;7;44;172;169;521;932;1277;1384;831;286;66
52 Goiás;2019;0;14;42;61;174;321;413;349;261;117;54
53 Distrito Federal;2019;1;0;6;9;25;67;65;59;35;12;8
11 Rondônia;2020;0;0;1;11;21;52;63;111;100;57;24;8;;;
12 Acre;2020;0;0;1;3;7;15;19;16;13;8;4;0;;;
13 Amazonas;2020;0;0;6;12;14;50;54;50;52;34;15;1;;;
14 Roraima;2020;0;0;0;2;4;5;6;14;10;7;2;0;;;
15 Pará;2020;0;5;45;125;126;262;390;386;327;287;117;33;;;
16 Amapá;2020;0;0;3;4;5;10;18;26;14;15;3;1;;;
17 Tocantins;2020;0;1;14;31;68;138;181;227;206;141;88;18;;;
21 Maranhão;2020;0;8;51;136;139;299;454;435;412;343;207;76;;;
22 Piauí;2020;0;0;7;17;21;63;87;111;100;109;44;27;;;
23 Ceará;2020;0;2;13;33;35;110;136;238;269;232;124;64;;;
24 Rio Grande do Norte;2020;0;1;1;4;10;16;27;28;40;42;23;3;;;
25 Paraíba;2020;0;1;5;12;14;38;57;82;72;59;24;8;;;
26 Pernambuco;2020;0;7;40;48;91;195;334;377;395;311;167;41;;;
27 Alagoas;2020;0;1;1;10;14;25;44;52;41;37;20;9;;;
28 Sergipe;2020;0;1;5;7;17;38;37;55;57;52;29;10;;;
29 Bahia;2020;0;3;10;31;55;127;192;238;252;236;126;56;;;
31 Minas Gerais;2020;0;0;5;20;32;73;134;194;195;195;79;28;;;
32 Espírito Santo;2020;0;0;0;1;2;15;26;24;15;22;6;3;;;
33 Rio de Janeiro;2020;2;1;9;8;21;53;109;130;132;128;72;17;;;
35 São Paulo;2020;0;1;10;12;30;85;158;167;160;199;90;32;;;
41 Paraná;2020;0;0;1;0;10;33;54;93;135;112;39;17;;;
42 Santa Catarina;2020;0;2;0;4;8;26;20;29;29;18;17;3;;;
43 Rio Grande do Sul;2020;0;0;1;2;0;7;15;14;18;14;9;1;;;
50 Mato Grosso do Sul;2020;0;0;1;4;8;26;45;77;75;76;30;9;;;
51 Mato Grosso;2020;0;2;34;76;101;299;591;731;683;461;172;39;;;
52 Goiás;2020;0;1;10;21;37;115;143;236;233;134;87;37;;;
53 Distrito Federal;2020;0;1;1;4;5;36;50;60;56;55;15;1;;;
