UF de notificação;Ano;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais
23 Ceará;2015;8;139;257;254;470;751;997;986;897;563;325
24 Rio Grande do Norte;2015;0;26;69;12;45;76;127;98;86;50;23
25 Paraíba;2015;0;32;25;26;98;146;183;199;108;109;43
26 Pernambuco;2015;33;319;486;508;872;1377;1455;1163;851;388;128
27 Alagoas;2015;4;36;56;83;134;246;155;221;152;63;26
28 Sergipe;2015;0;29;99;66;177;244;290;228;135;146;35
29 Bahia;2015;17;221;441;440;785;1197;1176;1133;902;526;198
31 Minas Gerais;2015;6;41;140;137;293;792;688;903;571;368;115
32 Espírito Santo;2015;6;46;76;119;249;315;272;367;336;142;24
33 Rio de Janeiro;2015;24;57;114;94;278;592;470;472;410;237;60
35 São Paulo;2015;0;31;72;182;581;784;807;978;689;430;118
41 Paraná;2015;0;4;19;39;201;384;421;582;435;177;68
42 Santa Catarina;2015;0;1;7;15;51;71;89;67;89;31;14
43 Rio Grande do Sul;2015;0;0;5;6;24;44;38;79;40;21;5
50 Mato Grosso do Sul;2015;0;43;70;89;185;287;351;472;305;155;80
51 Mato Grosso;2015;20;235;455;525;1382;1846;1660;1654;941;386;133
52 Goiás;2015;19;122;214;262;547;980;1026;923;609;276;94
53 Distrito Federal;2015;0;11;31;36;80;163;137;136;55;48;7
11 Rondônia;2016;0;19;50;115;133;372;265;261;110;49;16
12 Acre;2016;0;15;23;25;54;130;102;56;11;7;0
13 Amazonas;2016;4;58;166;255;254;288;349;258;172;68;28
14 Roraima;2016;0;15;34;12;45;67;41;22;58;3;3
15 Pará;2016;12;277;679;538;1072;1444;1206;966;774;343;146
16 Amapá;2016;0;0;24;11;58;51;25;29;20;0;0
17 Tocantins;2016;12;92;265;387;540;1283;981;857;633;414;129
21 Maranhão;2016;59;423;780;808;1401;2164;1803;1706;1332;742;248
22 Piauí;2016;7;114;140;134;409;363;532;429;377;223;128
23 Ceará;2016;6;142;195;245;458;768;876;1123;977;628;215
24 Rio Grande do Norte;2016;8;13;11;16;19;114;39;67;77;50;11
25 Paraíba;2016;6;34;39;23;86;163;192;182;84;84;39
26 Pernambuco;2016;39;254;408;436;741;1060;1169;1116;688;361;148
27 Alagoas;2016;0;15;50;50;147;152;150;98;112;47;16
28 Sergipe;2016;0;18;37;61;128;172;191;168;152;55;46
29 Bahia;2016;7;141;282;259;567;1032;1091;997;714;468;145
31 Minas Gerais;2016;7;65;135;174;258;503;783;778;718;270;128
32 Espírito Santo;2016;0;12;69;97;121;271;239;278;239;94;48
33 Rio de Janeiro;2016;3;92;100;66;203;443;493;492;372;224;82
35 São Paulo;2016;0;43;80;190;514;791;780;895;812;482;86
41 Paraná;2016;0;9;10;38;121;266;377;412;357;231;69
42 Santa Catarina;2016;0;0;2;4;50;71;77;138;48;58;8
43 Rio Grande do Sul;2016;2;0;2;1;8;20;38;40;79;6;12
50 Mato Grosso do Sul;2016;12;16;23;39;122;237;253;204;165;59;46
51 Mato Grosso;2016;18;210;482;580;1380;1908;2049;1687;951;430;112
52 Goiás;2016;6;86;118;166;356;931;866;942;488;431;155
53 Distrito Federal;2016;0;6;22;16;67;104;132;109;68;27;4
11 Rondônia;2017;3;37;54;77;185;288;339;232;165;60;9
12 Acre;2017;0;20;23;23;49;101;65;77;38;32;5
13 Amazonas;2017;14;20;138;109;324;349;442;275;195;63;15
14 Roraima;2017;0;0;93;59;82;81;132;52;46;30;7
15 Pará;2017;30;163;590;508;1164;1570;1093;1001;780;452;114
16 Amapá;2017;0;7;18;35;52;72;49;57;21;6;2
17 Tocantins;2017;0;230;417;218;676;994;1196;789;638;524;90
21 Maranhão;2017;46;410;944;888;1611;2191;2111;1992;1608;965;411
22 Piauí;2017;9;96;168;212;501;483;579;593;490;318;124
23 Ceará;2017;7;81;161;210;343;622;1058;1121;1025;515;276
24 Rio Grande do Norte;2017;0;6;17;24;62;70;130;98;88;33;24
25 Paraíba;2017;7;26;38;39;81;200;198;192;197;84;27
26 Pernambuco;2017;72;327;520;603;1059;1646;1777;1409;1103;511;195
27 Alagoas;2017;3;18;97;73;121;136;156;171;114;88;36
28 Sergipe;2017;3;15;47;72;132;238;215;273;234;148;68
29 Bahia;2017;24;186;287;271;641;971;1289;1100;868;428;271
31 Minas Gerais;2017;0;60;118;150;342;505;594;708;556;380;100
32 Espírito Santo;2017;0;28;55;126;132;317;300;265;254;107;50
33 Rio de Janeiro;2017;23;48;84;104;197;422;381;523;367;127;91
35 São Paulo;2017;5;23;87;152;431;622;685;877;693;524;153
41 Paraná;2017;3;35;8;40;155;248;390;429;323;149;55
42 Santa Catarina;2017;0;0;26;26;44;51;48;102;48;8;0
43 Rio Grande do Sul;2017;0;9;10;4;37;31;35;63;51;24;5
50 Mato Grosso do Sul;2017;0;21;57;30;96;256;233;257;194;108;58
51 Mato Grosso;2017;5;233;557;1006;3064;2495;2786;2149;1231;449;123
52 Goiás;2017;5;51;126;194;468;756;834;830;539;297;82
53 Distrito Federal;2017;5;6;7;20;100;155;65;53;39;24;20
11 Rondônia;2018;0;0;17;63;146;224;391;399;275;194;64;61
12 Acre;2018;0;0;19;36;17;76;118;81;53;42;26;5
13 Amazonas;2018;0;5;36;205;149;211;264;278;272;205;57;35
14 Roraima;2018;0;0;11;24;18;120;61;75;51;62;13;6
15 Pará;2018;0;17;224;608;621;1139;1560;1287;1108;795;375;138
16 Amapá;2018;0;3;5;11;27;49;73;72;50;36;13;20
17 Tocantins;2018;0;8;109;458;344;643;1216;1549;1269;714;440;172
21 Maranhão;2018;0;53;380;900;808;1434;2284;1960;1630;1568;811;387
22 Piauí;2018;0;2;60;170;229;254;500;566;567;542;286;76
23 Ceará;2018;0;0;97;149;228;435;725;1078;1250;967;565;291
24 Rio Grande do Norte;2018;0;0;13;6;3;47;84;143;105;75;58;37
25 Paraíba;2018;0;5;16;23;58;127;335;286;206;150;82;37
26 Pernambuco;2018;0;34;208;414;532;1183;1451;1710;1617;1139;656;225
27 Alagoas;2018;0;13;18;80;90;101;199;171;212;97;72;20
28 Sergipe;2018;0;0;15;76;67;177;228;182;231;154;140;31
29 Bahia;2018;0;16;146;238;275;569;988;1050;955;735;505;194
31 Minas Gerais;2018;0;17;54;118;164;248;417;663;630;457;328;101
32 Espírito Santo;2018;0;3;14;66;139;193;291;230;253;220;132;22
33 Rio de Janeiro;2018;5;2;22;74;116;193;383;507;373;417;176;80
35 São Paulo;2018;0;2;20;39;150;382;614;650;874;726;535;119
41 Paraná;2018;0;0;12;18;43;193;279;361;389;352;181;102
42 Santa Catarina;2018;0;0;0;3;25;39;46;59;94;55;55;1
43 Rio Grande do Sul;2018;0;0;2;23;22;37;56;73;47;53;68;0
50 Mato Grosso do Sul;2018;0;0;11;15;24;90;168;224;185;160;86;19
51 Mato Grosso;2018;0;3;222;498;568;1370;2570;3192;2930;1499;500;249
52 Goiás;2018;0;12;63;111;168;397;710;935;803;673;264;118
53 Distrito Federal;2018;0;0;5;11;16;99;84;80;105;87;11;1
11 Rondônia;2019;2;13;17;44;142;235;202;200;94;57;11
12 Acre;2019;0;0;0;13;45;63;59;25;25;47;9
13 Amazonas;2019;7;35;144;86;227;250;255;264;100;64;31
14 Roraima;2019;0;13;14;26;26;58;28;23;34;6;0
15 Pará;2019;4;218;500;503;981;1558;1222;1057;767;350;131
16 Amapá;2019;0;14;25;15;36;46;109;21;30;6;0
17 Tocantins;2019;16;96;254;357;734;823;988;877;545;318;128
21 Maranhão;2019;44;353;745;834;1239;1858;1889;1671;1561;857;300
22 Piauí;2019;0;81;129;115;281;370;467;473;389;243;127
23 Ceará;2019;11;35;149;184;419;626;770;973;799;537;235
24 Rio Grande do Norte;2019;0;0;8;19;57;42;99;102;45;22;11
25 Paraíba;2019;0;7;21;62;38;135;151;139;174;103;20
26 Pernambuco;2019;22;220;395;435;940;1271;1642;1415;1035;541;164
27 Alagoas;2019;2;22;38;52;124;147;108;109;60;53;17
28 Sergipe;2019;0;24;48;73;112;178;243;131;167;86;42
29 Bahia;2019;20;70;209;199;406;760;885;996;811;447;179
31 Minas Gerais;2019;5;74;101;191;195;373;580;547;557;305;100
32 Espírito Santo;2019;18;25;128;65;231;365;279;229;215;96;28
33 Rio de Janeiro;2019;11;22;83;62;157;303;340;383;343;197;94
35 São Paulo;2019;5;32;94;124;354;542;705;648;665;338;144
41 Paraná;2019;0;12;2;21;116;201;283;392;321;223;41
42 Santa Catarina;2019;0;4;6;7;28;58;52;100;50;14;23
43 Rio Grande do Sul;2019;0;2;28;6;33;30;21;30;46;28;0
50 Mato Grosso do Sul;2019;0;8;36;31;92;191;260;311;204;90;24
51 Mato Grosso;2019;9;146;565;428;1263;1995;2389;2183;1254;429;159
52 Goiás;2019;0;32;104;157;447;729;879;674;491;215;103
53 Distrito Federal;2019;2;0;18;24;80;385;165;89;45;33;12
11 Rondônia;2020;0;0;20;33;90;94;124;122;50;20;12
12 Acre;2020;0;0;5;4;26;32;22;11;13;7;0
13 Amazonas;2020;0;22;9;30;74;88;79;70;60;27;0
14 Roraima;2020;0;0;0;4;0;3;9;0;0;0;0
15 Pará;2020;3;104;190;180;384;554;461;292;264;153;26
16 Amapá;2020;0;1;1;7;13;12;28;14;18;0;1
17 Tocantins;2020;6;19;66;173;242;470;279;257;235;85;32
21 Maranhão;2020;0;88;322;256;391;683;685;664;496;413;165
22 Piauí;2020;0;0;24;38;67;77;102;81;84;47;21
23 Ceará;2020;1;15;84;47;185;218;408;383;353;240;125
24 Rio Grande do Norte;2020;0;6;1;3;13;26;26;22;17;8;0
25 Paraíba;2020;0;0;23;23;33;54;114;58;45;17;16
26 Pernambuco;2020;24;101;80;139;387;682;520;577;361;265;58
27 Alagoas;2020;1;1;20;12;32;63;50;44;31;9;6
28 Sergipe;2020;0;4;12;50;114;83;93;103;111;65;23
29 Bahia;2020;0;7;51;56;102;251;197;269;246;105;64
31 Minas Gerais;2020;0;4;18;21;68;102;170;184;166;106;46
32 Espírito Santo;2020;0;0;7;0;8;20;11;8;15;1;2
33 Rio de Janeiro;2020;3;12;6;6;52;101;110;94;89;57;10
35 São Paulo;2020;0;14;15;70;168;222;249;187;229;98;48
41 Paraná;2020;0;3;0;13;66;63;153;185;131;48;19
42 Santa Catarina;2020;0;0;6;8;48;8;24;28;14;6;4
43 Rio Grande do Sul;2020;0;3;10;0;11;6;13;5;8;8;1
50 Mato Grosso do Sul;2020;0;0;6;9;27;96;81;95;66;20;6
51 Mato Grosso;2020;4;76;147;145;371;957;876;666;446;169;69
52 Goiás;2020;3;14;37;31;137;192;262;258;119;108;58
53 Distrito Federal;2020;2;0;2;0;19;40;64;56;27;22;2
