UF de notificação;Ano;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais
35 São Paulo;2014;0;23;221;404;1720;2466;3053;3225;2850;1557;278
41 Paraná;2014;0;2;125;116;519;1978;1904;3194;2564;1653;339
42 Santa Catarina;2014;1;0;4;39;189;469;625;371;254;181;55
43 Rio Grande do Sul;2014;0;12;1;40;215;45;238;176;515;199;228
50 Mato Grosso do Sul;2014;4;130;89;160;476;911;1328;1438;1067;598;165
51 Mato Grosso;2014;21;249;509;567;1990;2950;3611;3263;2088;838;168
52 Goiás;2014;9;93;281;414;1563;4452;3746;3430;3272;1118;543
53 Distrito Federal;2014;2;30;115;60;319;620;829;522;300;198;13
11 Rondônia;2015;0;76;118;149;370;725;855;605;402;139;123
12 Acre;2015;0;16;98;14;177;376;251;177;106;66;0
13 Amazonas;2015;10;119;144;175;304;559;778;637;537;197;78
14 Roraima;2015;0;0;8;27;159;772;232;582;281;119;82
15 Pará;2015;9;540;1298;1392;3863;5541;4315;4217;3227;1836;578
16 Amapá;2015;8;26;45;28;166;225;364;116;145;42;115
17 Tocantins;2015;5;318;573;410;899;1351;1326;1354;1363;1043;293
21 Maranhão;2015;52;720;1217;1250;3139;4463;3869;4474;3750;2205;922
22 Piauí;2015;17;81;262;317;798;1599;2120;1865;2109;778;429
23 Ceará;2015;3;196;392;543;1336;2465;2965;3588;2968;1542;659
24 Rio Grande do Norte;2015;0;14;67;33;160;271;401;465;344;200;48
25 Paraíba;2015;0;73;84;125;315;438;809;930;618;305;121
26 Pernambuco;2015;46;335;526;672;1762;2414;2923;2583;1927;1069;274
27 Alagoas;2015;40;45;163;69;421;397;440;584;384;193;124
28 Sergipe;2015;0;12;74;70;295;353;469;503;284;312;80
29 Bahia;2015;50;350;891;1007;2873;3894;4235;4093;2965;1922;661
31 Minas Gerais;2015;10;26;142;154;661;1855;1976;2505;2174;1093;423
32 Espírito Santo;2015;12;44;45;96;428;600;502;712;923;262;80
33 Rio de Janeiro;2015;13;99;172;224;1382;2158;1795;2242;2293;1414;301
35 São Paulo;2015;0;18;167;300;1487;2000;2262;3110;2434;1257;414
41 Paraná;2015;0;2;84;133;661;1833;2256;3599;2706;1507;318
42 Santa Catarina;2015;0;4;3;117;289;339;329;451;489;92;10
43 Rio Grande do Sul;2015;0;0;31;21;137;144;154;415;182;120;77
50 Mato Grosso do Sul;2015;0;53;77;105;354;708;757;1204;906;405;130
51 Mato Grosso;2015;21;336;650;568;1698;3139;3436;3495;2272;905;335
52 Goiás;2015;10;229;378;566;1919;3046;3974;3827;2310;1305;523
53 Distrito Federal;2015;1;10;51;90;433;735;380;318;285;143;62
11 Rondônia;2016;0;17;59;131;194;614;637;520;365;156;32
12 Acre;2016;0;21;41;40;149;347;270;308;48;59;0
13 Amazonas;2016;1;23;229;298;374;622;568;546;342;238;61
14 Roraima;2016;0;4;41;1;359;197;480;133;279;34;10
15 Pará;2016;45;418;1176;1212;4109;4738;5067;4025;3747;1577;721
16 Amapá;2016;0;3;43;31;174;214;214;124;105;0;0
17 Tocantins;2016;5;126;584;408;795;2313;1799;1878;1817;1263;257
21 Maranhão;2016;120;520;992;1038;3030;4427;3720;3637;2870;2068;722
22 Piauí;2016;26;180;264;519;1254;938;2167;2041;1925;860;767
23 Ceará;2016;6;229;272;412;1054;2159;2509;2874;3154;1606;437
24 Rio Grande do Norte;2016;28;10;7;5;105;145;185;208;326;112;53
25 Paraíba;2016;28;66;39;53;267;655;655;943;622;417;125
26 Pernambuco;2016;35;312;451;667;1361;2206;2680;2343;1854;920;370
27 Alagoas;2016;0;15;53;37;565;416;275;397;335;220;44
28 Sergipe;2016;0;42;92;131;205;362;345;428;344;263;125
29 Bahia;2016;18;165;400;786;1612;3587;3513;3608;2770;1498;598
31 Minas Gerais;2016;8;45;148;287;555;1457;2002;2396;1966;997;341
32 Espírito Santo;2016;0;9;42;125;254;519;452;411;530;126;57
33 Rio de Janeiro;2016;12;92;183;115;861;1842;1817;2013;1543;898;381
35 São Paulo;2016;0;84;188;590;1752;2360;2385;2756;2552;1484;351
41 Paraná;2016;0;36;11;256;600;1547;1647;2691;1935;1302;368
42 Santa Catarina;2016;0;0;6;23;249;467;501;568;398;193;30
43 Rio Grande do Sul;2016;3;0;6;6;113;187;344;287;618;92;32
50 Mato Grosso do Sul;2016;8;61;52;40;253;709;740;681;691;363;103
51 Mato Grosso;2016;34;243;459;514;1949;2930;3830;3667;2098;1028;142
52 Goiás;2016;5;80;207;261;1362;2672;2989;3101;2188;1148;320
53 Distrito Federal;2016;2;5;24;29;204;262;341;203;184;65;43
11 Rondônia;2017;1;19;56;138;386;592;614;588;414;135;20
12 Acre;2017;0;4;55;115;136;325;229;274;137;182;61
13 Amazonas;2017;12;21;99;238;375;788;748;753;571;228;18
14 Roraima;2017;0;1;250;75;120;792;362;311;675;116;30
15 Pará;2017;55;301;1299;1277;2919;5689;4208;4288;3354;2003;465
16 Amapá;2017;0;11;35;54;163;208;189;150;132;36;15
17 Tocantins;2017;0;285;454;349;1059;2056;2562;1811;1838;1355;258
21 Maranhão;2017;47;544;1185;1353;2996;4359;3828;3834;3820;2462;962
22 Piauí;2017;20;206;234;616;729;1251;1962;1964;2121;995;615
23 Ceará;2017;8;81;233;522;912;1568;2510;3035;2632;1364;642
24 Rio Grande do Norte;2017;0;2;10;41;198;219;375;371;371;166;130
25 Paraíba;2017;24;49;55;40;336;818;722;908;794;283;145
26 Pernambuco;2017;90;299;538;714;1950;3176;3658;2773;2460;1274;515
27 Alagoas;2017;3;25;63;87;331;531;438;446;297;251;86
28 Sergipe;2017;13;6;79;113;393;676;620;600;681;506;197
29 Bahia;2017;38;195;490;658;1681;3531;3983;4116;3023;1481;668
31 Minas Gerais;2017;1;44;167;356;675;1911;2075;2523;2072;1285;384
32 Espírito Santo;2017;0;29;44;195;298;765;867;704;424;314;102
33 Rio de Janeiro;2017;6;142;90;263;746;1655;1677;1887;1674;562;282
35 São Paulo;2017;3;17;99;388;1274;2096;2004;2742;2348;2024;463
41 Paraná;2017;2;32;11;108;662;1386;1765;2423;2601;712;132
42 Santa Catarina;2017;0;0;56;29;204;247;342;332;138;199;0
43 Rio Grande do Sul;2017;0;12;47;15;173;174;121;265;281;213;54
50 Mato Grosso do Sul;2017;0;18;21;80;271;666;838;792;685;392;116
51 Mato Grosso;2017;3;228;637;724;1761;3088;4305;4024;2671;1038;303
52 Goiás;2017;25;42;315;584;1347;2483;2776;3085;2232;1068;346
53 Distrito Federal;2017;8;16;21;66;225;199;326;222;180;116;45
11 Rondônia;2018;0;0;23;74;229;395;588;903;826;529;166;87
12 Acre;2018;0;0;23;81;86;212;344;214;123;75;100;29
13 Amazonas;2018;0;1;29;122;210;343;515;791;718;528;243;72
14 Roraima;2018;0;0;12;126;114;425;285;346;274;249;65;2
15 Pará;2018;0;41;369;1311;1331;3178;4978;5426;3910;3951;2125;704
16 Amapá;2018;0;1;2;23;53;144;196;227;197;96;86;54
17 Tocantins;2018;0;56;223;580;573;1029;2462;3412;2180;2252;1227;278
21 Maranhão;2018;0;25;455;993;1237;2696;4546;4003;4004;4225;2250;931
22 Piauí;2018;0;3;340;371;430;1182;1896;2105;2697;2505;1202;339
23 Ceará;2018;0;1;32;380;396;1120;2000;2613;3484;2472;1677;719
24 Rio Grande do Norte;2018;0;0;9;44;20;45;201;368;339;310;306;91
25 Paraíba;2018;0;3;35;70;66;437;743;630;861;740;279;136
26 Pernambuco;2018;0;26;213;504;754;1880;2612;3298;3496;2884;1226;608
27 Alagoas;2018;0;3;30;207;114;520;669;707;725;509;213;45
28 Sergipe;2018;0;0;79;137;114;376;398;503;666;694;231;91
29 Bahia;2018;0;13;201;435;862;1931;3464;4193;3938;2867;2001;727
31 Minas Gerais;2018;0;3;36;189;315;660;1479;1599;2134;2051;1064;421
32 Espírito Santo;2018;0;2;34;76;173;341;549;517;610;543;303;79
33 Rio de Janeiro;2018;1;7;62;159;248;772;1894;1885;1454;1847;825;385
35 São Paulo;2018;0;2;33;62;547;1429;2520;2711;2825;2636;1426;280
41 Paraná;2018;0;0;20;14;239;1134;1191;2065;2535;1797;1357;244
42 Santa Catarina;2018;0;0;0;0;55;108;176;266;301;202;242;0
43 Rio Grande do Sul;2018;0;0;5;29;44;59;300;235;123;244;419;12
50 Mato Grosso do Sul;2018;0;0;20;25;74;230;475;691;867;845;493;91
51 Mato Grosso;2018;0;1;184;516;923;2293;4537;6351;6978;3929;1275;353
52 Goiás;2018;0;13;70;184;512;1405;2271;3699;3251;2685;1448;336
53 Distrito Federal;2018;0;0;5;2;85;336;234;272;264;334;105;0
11 Rondônia;2019;1;6;38;81;306;734;564;667;397;200;73
12 Acre;2019;0;0;0;27;247;392;294;132;186;88;61
13 Amazonas;2019;42;7;134;88;571;496;599;483;397;221;107
14 Roraima;2019;0;21;9;67;265;510;251;409;278;72;2
15 Pará;2019;9;284;826;1165;3627;5512;4975;4007;3272;1544;578
16 Amapá;2019;10;24;41;75;208;192;221;126;136;29;0
17 Tocantins;2019;14;114;366;626;1708;1698;2301;1925;1324;788;559
21 Maranhão;2019;37;532;1136;1509;2452;5025;4257;4199;3856;2324;736
22 Piauí;2019;19;242;357;330;1102;1736;2577;2419;2069;1034;554
23 Ceará;2019;9;67;109;352;1024;1334;2273;3250;2386;1389;583
24 Rio Grande do Norte;2019;0;0;3;38;169;94;277;506;228;245;68
25 Paraíba;2019;12;28;167;111;178;868;914;934;965;375;262
26 Pernambuco;2019;46;196;555;533;1486;2877;3573;3062;2654;1649;511
27 Alagoas;2019;5;97;22;75;453;278;454;426;513;239;78
28 Sergipe;2019;0;15;228;133;244;369;618;358;548;315;112
29 Bahia;2019;19;257;400;619;1780;2865;3464;4076;3896;1594;573
31 Minas Gerais;2019;9;66;126;357;852;1423;2350;2714;2246;1108;375
32 Espírito Santo;2019;9;11;69;154;571;741;1024;607;691;266;47
33 Rio de Janeiro;2019;23;50;151;374;522;1406;1487;1412;1964;611;306
35 São Paulo;2019;24;41;176;293;1442;2046;1880;2317;2682;1199;435
41 Paraná;2019;0;52;8;109;442;827;1434;2093;2394;1282;229
42 Santa Catarina;2019;0;1;8;12;213;264;488;587;332;63;326
43 Rio Grande do Sul;2019;0;3;33;3;40;201;148;168;264;126;28
50 Mato Grosso do Sul;2019;0;18;86;56;317;635;693;928;830;422;100
51 Mato Grosso;2019;22;167;662;801;2537;4226;5688;6064;3610;1312;265
52 Goiás;2019;0;68;261;500;1417;2797;4112;2917;2566;1396;721
53 Distrito Federal;2019;1;0;14;26;165;292;382;369;229;78;139
11 Rondônia;2020;0;0;3;37;104;220;318;504;619;288;179;29
12 Acre;2020;0;0;0;1;52;151;226;141;140;70;34;0
13 Amazonas;2020;0;0;42;44;29;301;251;429;243;217;105;3
14 Roraima;2020;0;0;0;33;92;75;154;162;147;153;13;0
15 Pará;2020;0;19;190;827;714;2040;2638;2680;2214;2620;998;174
16 Amapá;2020;0;0;11;11;27;39;139;128;53;67;22;7
17 Tocantins;2020;0;1;77;220;421;860;996;1413;1080;744;598;130
21 Maranhão;2020;0;37;166;687;805;1973;2677;2707;2579;2215;1575;665
22 Piauí;2020;0;0;25;186;106;688;844;890;731;1056;350;485
23 Ceará;2020;0;2;37;186;230;518;758;1451;1816;1587;1034;406
24 Rio Grande do Norte;2020;0;2;0;30;97;60;82;158;276;310;155;3
25 Paraíba;2020;0;1;24;53;57;158;297;450;439;403;233;45
26 Pernambuco;2020;0;23;103;130;534;1069;1933;2099;1706;1831;1060;288
27 Alagoas;2020;0;7;10;99;56;185;263;251;249;364;106;88
28 Sergipe;2020;0;2;18;44;52;493;254;305;417;394;366;45
29 Bahia;2020;0;14;74;169;243;1085;1381;2209;1849;2073;1021;435
31 Minas Gerais;2020;0;0;21;75;122;601;991;1378;1608;1585;521;276
32 Espírito Santo;2020;0;0;0;10;6;87;194;134;73;107;17;12
33 Rio de Janeiro;2020;5;1;41;92;151;327;1006;985;902;947;606;102
35 São Paulo;2020;0;3;28;56;174;862;1276;1319;1309;1606;973;275
41 Paraná;2020;0;0;5;0;105;517;466;890;1399;1389;578;229
42 Santa Catarina;2020;0;2;0;27;26;172;171;263;145;113;245;31
43 Rio Grande do Sul;2020;0;0;1;0;0;102;138;76;102;62;68;30
50 Mato Grosso do Sul;2020;0;0;0;15;30;129;255;447;418;634;196;39
51 Mato Grosso;2020;0;6;199;431;518;1647;3515;4026;3375;2402;817;294
52 Goiás;2020;0;1;39;87;329;872;1420;2265;1815;1132;1032;663
53 Distrito Federal;2020;0;0;2;33;23;150;326;233;339;187;81;5
